weight_id,w_gmic,w_nyu,w_glam,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason,diagnostic_only,eligible_for_freeze
W09,0.5,0.2,0.3,T03,0.5,0.06142,analysis_score_quantile,False,1760,1666,25,119,0.8263888888888888,,0.5137186223000584,,0.06666666666666667,,0.9859943977591037,,0.4862813776999416,0.5263305322128852,0.6700537555944737,0.12337998963193364,,0.7106187568917428,,0.12978362088958217,0.12978362088958217,average_precision_score,,True,False
W09,0.5,0.2,0.3,T04,0.7,0.151248,analysis_score_quantile,False,2445,981,54,90,0.625,,0.7136602451838879,,0.08403361344537816,,0.978391356542617,,0.28633975481611207,0.7100840336134454,0.6693301225919439,0.14814814814814814,,0.7106187568917428,,0.12978362088958217,0.12978362088958217,average_precision_score,,True,False
W09,0.5,0.2,0.3,T05,0.9,0.5,analysis_score_quantile,False,2874,552,103,41,0.2847222222222222,,0.8388791593695272,,0.06913996627318718,,0.965401410816258,,0.16112084063047286,0.8165266106442577,0.5618006907958747,0.1112618724559023,,0.7106187568917428,,0.12978362088958217,0.12978362088958217,average_precision_score,,True,False
W10,0.3,0.5,0.2,T01,0.1,0.018899,analysis_score_quantile,False,348,3078,9,135,0.9375,,0.10157618213660245,,0.04201680672268908,,0.9747899159663865,,0.8984238178633975,0.13529411764705881,0.5195380910683012,0.08042895442359249,,0.7153396007653889,,0.12127447004426523,0.12127447004426523,average_precision_score,,True,False
W10,0.3,0.5,0.2,T02,0.3,0.036748,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7153396007653889,,0.12127447004426523,0.12127447004426523,average_precision_score,,True,False
W10,0.3,0.5,0.2,T03,0.5,0.065595,analysis_score_quantile,False,1763,1663,22,122,0.8472222222222222,,0.5145942790426153,,0.06834733893557422,,0.9876750700280112,,0.4854057209573847,0.5280112044817927,0.6809082506324188,0.12649040953862103,,0.7153396007653889,,0.12127447004426523,0.12127447004426523,average_precision_score,,True,False
W10,0.3,0.5,0.2,T04,0.7,0.14812399999999995,analysis_score_quantile,False,2446,980,53,91,0.6319444444444444,,0.7139521307647402,,0.08496732026143791,,0.9787915166066427,,0.28604786923525977,0.7106442577030813,0.6729482876045922,0.14979423868312758,,0.7153396007653889,,0.12127447004426523,0.12127447004426523,average_precision_score,,True,False
W10,0.3,0.5,0.2,T05,0.9,0.313584,analysis_score_quantile,False,3114,312,99,45,0.3125,,0.9089316987740805,,0.12605042016806722,,0.969187675070028,,0.09106830122591944,0.8848739495798319,0.6107158493870403,0.17964071856287425,,0.7153396007653889,,0.12127447004426523,0.12127447004426523,average_precision_score,,True,False
W11,0.2,0.5,0.3,T01,0.1,0.01794,analysis_score_quantile,False,346,3080,10,134,0.9305555555555556,,0.10099241097489783,,0.04169259489732421,,0.9719101123595506,,0.8990075890251021,0.13445378151260504,0.5157739832652267,0.07980941036331149,,0.7174689466173705,,0.13593532888306836,0.13593532888306836,average_precision_score,,True,False
W11,0.2,0.5,0.3,T02,0.3,0.034842000000000005,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7174689466173705,,0.13593532888306836,0.13593532888306836,average_precision_score,,True,False
